Time,EDA,Heart Rate,Temperature
BEGIN debug FOR 10 SECONDS,,,
1730338860311363,25736,18999,4277
1730338860344609,25658,19013,4274
1730338860348842,25556,19026,4276
1730338860378096,25489,19041,4276
1730338860411243,25427,19057,4275
1730338860416456,25389,19074,4279
1730338860444579,25375,19092,4278
1730338860477926,25360,19112,4276
1730338860482695,25356,19132,4274
1730338860511351,25361,19152,4277
1730338860544594,25340,19174,4275
1730338860549655,25344,19196,4276
1730338860577869,25474,19218,4276
1730338860611180,25909,19241,4276
1730338860618534,26619,19264,4275
1730338860644649,27282,19288,4275
1730338860677839,27611,19311,4277
1730338860682533,27524,19334,4276
1730338860711312,27096,19358,4277
1730338860744759,26490,19380,4277
1730338860751201,25907,19404,4275
1730338860778281,25470,19426,4276
1730338860811028,25193,19449,4278
1730338860815631,25057,19472,4277
